participant_id,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
h5RYP03wJuVN0xo7qAR8CKFxLaj1,0.01,0.1,126,0.99,0.7492665798527528,0.2407334201472472,0.332699726729613,126
hOrA1ssI5vaeeeXRJhtjrGrqHQn1,0.01,0.1,74,0.01,0.99,-0.98,3.6227906149114673,74
hrRr560eFBNwJ0CcUjCqtSD8TdP2,0.17006621116080928,0.8070380788798921,86,0.27341434564074935,0.01,0.26341434564074934,1.02770775626207,86
htPWXDgfuheOJbl6ihHore9XuDp2,0.01,0.1,81,0.9464576320567227,0.01,0.9364576320567227,0.31152612137509345,81
i1bdbtLuM9UR71xKs8yOhuCwJ9o1,0.2788743265084781,0.9822910138019951,72,0.171844283713742,0.5036832059020628,-0.33183892218832084,0.916926054735766,72
i1tBstVkNiVP0qro7TgGD08IGGa2,0.01,0.1,80,0.99,0.01,0.98,0.4447511464282992,80
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0.01,0.1,68,0.5278544742090383,0.99,-0.4621455257909617,0.2728238263983145,68
iWsc4pghIEWOQUZKuQJMfe516UI3,0.4526241308746048,1.2880330028428566,80,0.031035238205050053,0.9262053393013879,-0.8951701010963379,4.276624773286076,80
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,0.01,0.1,126,0.28885363700593014,0.08546640965725819,0.20338722734867196,0.46298389101296744,126
iZX3U88SSqYAtT564nBPgHUBsei1,0.01,0.1,104,0.99,0.01,0.98,0.1,104
idP8RVfm74N86O0dszLXANIpjXv2,0.01,0.1,74,0.01,0.7583455046798472,-0.7483455046798472,2.6874667760276387,74
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,0.01,0.1,79,0.01,0.8223390339676798,-0.8123390339676798,9.27565859791023,79
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,0.01,0.1,64,0.7209892424232126,0.99,-0.2690107575767874,0.1,64
jzdk8E3tVXTXIozlfK5oeEb7wWp2,0.01,0.1,78,0.07124738649604087,0.9625249105866202,-0.8912775240905793,0.16738945269654507,78
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,0.01,0.1,101,0.99,0.01,0.98,0.1,101
kI0YdycDU0X5hcoEPjEON3Ionyd2,0.01,0.1,87,0.99,0.99,0.0,0.1794094573231056,87
